gender,sexual_orientation,location_type,income_bracket,education_level,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,is_match,num_interests
4,3,5,0,1,52,5,0.6,2,173,23,4,44,75,0.36,13,2,1,3
2,1,4,4,6,279,2,0.56,2,107,7,3,301,35,0.42,0,5,0,3
3,5,4,1,5,49,5,0.41,2,91,27,2,309,33,0.41,1,0,1,3
1,3,0,6,8,185,2,0.32,0,147,6,5,35,5,0.07,21,5,0,3
2,1,5,3,1,83,3,0.32,0,94,11,1,343,34,0.11,22,0,0,3
1,4,3,0,0,138,0,0.62,2,163,22,4,112,87,0.18,10,2,0,3
2,0,0,2,3,161,0,0.38,0,54,20,3,202,82,0.32,14,5,0,3
0,1,1,4,8,219,2,0.47,2,149,12,2,112,17,0.54,16,3,0,3
2,3,4,0,2,32,5,0.23,0,98,12,4,239,67,0.27,8,4,1,3
4,3,1,4,1,150,0,0.68,2,111,5,3,1,92,0.27,23,1,1,3
0,3,1,2,8,191,2,0.41,2,195,5,4,488,99,0.57,16,2,0,3
3,6,5,6,5,123,0,0.53,2,145,30,0,43,93,0.13,15,2,1,3
0,4,1,3,8,216,2,0.71,3,54,29,4,386,93,0.43,22,5,0,3
5,0,0,4,7,32,5,0.38,0,86,0,4,283,29,0.23,18,5,1,3
2,7,4,6,6,121,0,0.28,0,71,21,3,109,69,0.08,4,0,0,3
1,6,4,5,7,49,5,0.56,2,168,13,2,216,52,0.39,14,0,1,3
4,3,5,3,5,97,3,0.49,2,137,14,1,216,23,0.54,8,3,0,3
2,6,3,6,6,47,5,0.49,2,192,27,1,85,52,0.31,15,3,0,3
5,7,4,3,6,146,0,0.46,2,108,22,5,401,71,0.41,21,0,1,3
0,1,2,1,6,31,5,0.65,2,191,10,0,25,74,0.18,15,4,1,3
0,7,3,6,2,120,0,0.68,2,103,3,4,126,74,0.2,19,2,0,3
2,2,1,4,8,160,0,0.54,2,61,8,3,67,85,0.19,20,1,1,3
3,3,5,3,3,259,2,0.56,2,67,4,2,451,8,0.68,7,1,0,3
0,6,3,0,1,4,1,0.57,2,170,26,4,153,84,0.29,3,5,0,3
2,3,1,4,2,107,3,0.88,3,183,10,1,351,81,0.29,8,4,1,3
3,7,5,0,4,170,0,0.17,1,197,4,5,134,20,0.12,23,3,1,3
4,2,3,6,3,279,2,0.46,2,9,5,4,282,18,0.28,13,5,1,3
3,0,5,2,0,52,5,0.5,2,90,24,4,452,52,0.36,19,0,0,3
0,4,4,3,6,210,2,0.78,3,171,27,5,415,31,0.13,8,5,0,3
5,7,0,1,0,116,3,0.52,2,57,0,5,98,51,0.16,10,1,0,3
